,acc,loss,val_acc,val_loss
0,0.8836851851322033,0.41815563160401803,0.9405000004768371,0.2115315823952357
1,0.9530740739681103,0.16366755713136108,0.9541666671435038,0.1552471772034963
2,0.9667592591532954,0.11515060665430846,0.963,0.13011563396453857
3,0.9736851853088097,0.08813456305530336,0.9645000003178914,0.11594237577915191
4,0.979314814903118,0.07023705003658931,0.9693333336512248,0.10217984809478124
5,0.9837407408113833,0.056261196577990495,0.9683333336512248,0.1014292573928833
6,0.9858703703703704,0.047451439883421966,0.9710000003178915,0.09264880599578222
7,0.9882407407584014,0.03987283926208814,0.9711666663487752,0.09230286977688472
8,0.9907222222398828,0.032718198837505444,0.9729999996821086,0.09738045273224513
9,0.9920555555732162,0.027750042347996322,0.9749999998410542,0.08619062650203704
10,0.9944259259612472,0.02053593945172098,0.9766666665077209,0.08911105477809907
11,0.9947222222575435,0.018990667368526813,0.9743333330154419,0.0882980248729388
12,0.9959444444621051,0.015135682954280465,0.9753333331743876,0.0874975780248642
13,0.9965185185361791,0.013549493689503934,0.9768333336512248,0.08937287980318069
14,0.9972592592769199,0.010662867686538785,0.9766666671435038,0.08616207573811213
15,0.9974074074250681,0.009867796864222598,0.9743333338101705,0.09957254513104756
16,0.9978148148148148,0.007857798319792858,0.9755000003178914,0.09753172914187114
17,0.9981851852028458,0.007547954368646498,0.9723333330154419,0.10283286821842194
18,0.9972962962962963,0.00981489190707604,0.9740000003178915,0.10751927077770233
19,0.9982407407407408,0.006493346618419444,0.9739999998410542,0.10893343615531921
20,0.9993703703703704,0.003364363878965378,0.9760000003178915,0.10737292422850926
21,0.9985185185185185,0.005772501491872525,0.9731666663487752,0.10827729117870331
22,0.998370370388031,0.0056911546713500115,0.9744999996821085,0.10973158633708954
23,0.9967592592592592,0.010031715988491972,0.9735000003178914,0.12999684703350067
24,0.9979814814814815,0.006769481811293021,0.973833333015442,0.11886751965681712
25,0.9982777777777778,0.005083837470005232,0.9758333331743876,0.11418994291623434
26,0.9996666666666667,0.0018842796881993612,0.9781666669845581,0.10866527585188548
27,1.0,0.0006278144468432638,0.9783333331743876,0.10565213918685913
28,1.0,0.0003457713552095272,0.9778333331743876,0.10668557624022167
29,1.0,0.00027348307928035933,0.978166666507721,0.10680868391195933
